industry,year,keyword,slope
E-Commerce & Retail,2005,ecommerce,-0.1593291404612159
E-Commerce & Retail,2005,online shopping,0.19956458635703922
E-Commerce & Retail,2005,retail technology,0.0020158039025963584
E-Commerce & Retail,2005,online retail,-0.026931140138687318
E-Commerce & Retail,2006,ecommerce,-0.13900983712304468
E-Commerce & Retail,2006,online shopping,0.4146105466860185
E-Commerce & Retail,2006,retail technology,-0.015400741815836156
E-Commerce & Retail,2006,online retail,0.0013707466537655206
E-Commerce & Retail,2007,ecommerce,-0.03491372359296887
E-Commerce & Retail,2007,online shopping,0.4400096758587325
E-Commerce & Retail,2007,retail technology,-0.0033865505563618783
E-Commerce & Retail,2007,online retail,0.024109014675052415
E-Commerce & Retail,2008,ecommerce,-0.0590227382680213
E-Commerce & Retail,2008,online shopping,0.25657152072246414
E-Commerce & Retail,2008,retail technology,-0.0037090791807772943
E-Commerce & Retail,2008,online retail,0.0032252862441541695
E-Commerce & Retail,2009,ecommerce,0.0019351717464925126
E-Commerce & Retail,2009,online shopping,0.7536687631027256
E-Commerce & Retail,2009,retail technology,0.0016932752781809403
E-Commerce & Retail,2009,online retail,0.009998387356877924
E-Commerce & Retail,2010,ecommerce,-0.06418319625866795
E-Commerce & Retail,2010,online shopping,0.12360909530720852
E-Commerce & Retail,2010,retail technology,0.0009675858732462514
E-Commerce & Retail,2010,online retail,-0.002983389775842606
E-Commerce & Retail,2011,ecommerce,-0.0033865505563618697
E-Commerce & Retail,2011,online shopping,0.6566682793097889
E-Commerce & Retail,2011,retail technology,-0.00403160780519271
E-Commerce & Retail,2011,online retail,0.004918561522335107
E-Commerce & Retail,2012,ecommerce,-0.020238671182067406
E-Commerce & Retail,2012,online shopping,0.8534107402031931
E-Commerce & Retail,2012,retail technology,-0.009030801483631674
E-Commerce & Retail,2012,online retail,0.004918561522335107
E-Commerce & Retail,2013,ecommerce,-0.007498790517658441
E-Commerce & Retail,2013,online shopping,0.42114175133043064
E-Commerce & Retail,2013,retail technology,0.0
E-Commerce & Retail,2013,online retail,0.0
E-Commerce & Retail,2014,ecommerce,0.010643444605708761
E-Commerce & Retail,2014,online shopping,0.48177713272052897
E-Commerce & Retail,2014,retail technology,0.0
E-Commerce & Retail,2014,online retail,-0.0035478148685695863
E-Commerce & Retail,2015,ecommerce,0.0007256894049346997
E-Commerce & Retail,2015,online shopping,0.15908724399290436
E-Commerce & Retail,2015,retail technology,0.0
E-Commerce & Retail,2015,online retail,0.0
E-Commerce & Retail,2016,ecommerce,-0.011530398322851148
E-Commerce & Retail,2016,online shopping,0.018706660216094167
E-Commerce & Retail,2016,retail technology,0.0
E-Commerce & Retail,2016,online retail,0.0
E-Commerce & Retail,2017,ecommerce,-0.0038703434929850036
E-Commerce & Retail,2017,online shopping,0.5076600548298662
E-Commerce & Retail,2017,retail technology,0.0
E-Commerce & Retail,2017,online retail,-0.0016932752781809387
E-Commerce & Retail,2018,ecommerce,0.029833897758426067
E-Commerce & Retail,2018,online shopping,0.22746331236897277
E-Commerce & Retail,2018,retail technology,0.0
E-Commerce & Retail,2018,online retail,-0.002015803902596356
E-Commerce & Retail,2019,ecommerce,0.03273665537816482
E-Commerce & Retail,2019,online shopping,0.10538622802773745
E-Commerce & Retail,2019,retail technology,-0.0012901144976616677
E-Commerce & Retail,2019,online retail,0.004112239961296565
E-Commerce & Retail,2020,ecommerce,0.011933559103370435
E-Commerce & Retail,2020,online shopping,0.309788743751008
E-Commerce & Retail,2020,retail technology,0.0
E-Commerce & Retail,2020,online retail,0.0
Technology & Software,2005,software,-0.39163038219642005
Technology & Software,2005,saas,-0.0056442509272697965
Technology & Software,2005,cloud computing,0.0
Technology & Software,2005,enterprise software,0.0
Technology & Software,2006,software,-0.2780196742460894
Technology & Software,2006,saas,0.005241090146750524
Technology & Software,2006,cloud computing,0.0
Technology & Software,2006,enterprise software,0.0
Technology & Software,2007,software,-0.24133204321883572
Technology & Software,2007,saas,0.0
Technology & Software,2007,cloud computing,0.0
Technology & Software,2007,enterprise software,0.0
Technology & Software,2008,software,-0.20182228672794714
Technology & Software,2008,saas,0.0
Technology & Software,2008,cloud computing,0.003144654088050315
Technology & Software,2008,enterprise software,0.0
Technology & Software,2009,software,-0.04628285760361234
Technology & Software,2009,saas,0.0
Technology & Software,2009,cloud computing,0.009595226576358654
Technology & Software,2009,enterprise software,0.0
Technology & Software,2010,software,-0.3638929204966942
Technology & Software,2010,saas,0.0
Technology & Software,2010,cloud computing,0.0
Technology & Software,2010,enterprise software,0.0
Technology & Software,2011,software,-0.17593936461860996
Technology & Software,2011,saas,0.0006450572488308339
Technology & Software,2011,cloud computing,-0.002660861151427189
Technology & Software,2011,enterprise software,0.0
Technology & Software,2012,software,-0.2873730043541365
Technology & Software,2012,saas,-0.003386550556361877
Technology & Software,2012,cloud computing,-0.016126431220770846
Technology & Software,2012,enterprise software,0.0
Technology & Software,2013,software,-0.2589904854055798
Technology & Software,2013,saas,0.0
Technology & Software,2013,cloud computing,0.0
Technology & Software,2013,enterprise software,0.0
Technology & Software,2014,software,-0.2829382357684245
Technology & Software,2014,saas,0.005160457990646672
Technology & Software,2014,cloud computing,0.0
Technology & Software,2014,enterprise software,0.0
Technology & Software,2015,software,-0.27503628447024675
Technology & Software,2015,saas,0.0
Technology & Software,2015,cloud computing,0.0
Technology & Software,2015,enterprise software,0.0
Technology & Software,2016,software,-0.2141590066118368
Technology & Software,2016,saas,-0.010159651669085635
Technology & Software,2016,cloud computing,0.0
Technology & Software,2016,enterprise software,0.0
Technology & Software,2017,software,-0.19319464602483472
Technology & Software,2017,saas,-0.004354136429608128
Technology & Software,2017,cloud computing,0.0003225286244154169
Technology & Software,2017,enterprise software,0.0
Technology & Software,2018,software,-0.20867601999677474
Technology & Software,2018,saas,0.022738268021286888
Technology & Software,2018,cloud computing,0.0068537332688276085
Technology & Software,2018,enterprise software,0.0
Technology & Software,2019,software,-0.02031930333817126
Technology & Software,2019,saas,0.0
Technology & Software,2019,cloud computing,0.015562006128043869
Technology & Software,2019,enterprise software,0.0
Technology & Software,2020,software,-0.21552975326560234
Technology & Software,2020,saas,-0.0361232059345267
Technology & Software,2020,cloud computing,0.007901951298177716
Technology & Software,2020,enterprise software,0.0
Healthcare & Life Sciences,2005,digital health,0.0049991936784389655
Healthcare & Life Sciences,2005,telemedicine,-0.009111433639735522
Healthcare & Life Sciences,2005,healthcare technology,-0.014836316723109167
Healthcare & Life Sciences,2005,medical devices,-0.029430736977906786
Healthcare & Life Sciences,2005,biotech,-0.35873246250604746
Healthcare & Life Sciences,2006,digital health,0.011530398322851153
Healthcare & Life Sciences,2006,telemedicine,-0.052733430091920656
Healthcare & Life Sciences,2006,healthcare technology,-0.013626834381551363
Healthcare & Life Sciences,2006,medical devices,-0.061199806482825365
Healthcare & Life Sciences,2006,biotech,-0.5595065312046446
Healthcare & Life Sciences,2007,digital health,-0.0035478148685695867
Healthcare & Life Sciences,2007,telemedicine,-0.024995968392194808
Healthcare & Life Sciences,2007,healthcare technology,-0.02306079664570231
Healthcare & Life Sciences,2007,medical devices,-0.038461538461538464
Healthcare & Life Sciences,2007,biotech,-0.37631027253668764
Healthcare & Life Sciences,2008,digital health,-0.010320915981293343
Healthcare & Life Sciences,2008,telemedicine,-0.03580067731011128
Healthcare & Life Sciences,2008,healthcare technology,-0.004515400741815835
Healthcare & Life Sciences,2008,medical devices,-0.04781486856958555
Healthcare & Life Sciences,2008,biotech,-0.45903886469924204
Healthcare & Life Sciences,2009,digital health,0.0019351717464925013
Healthcare & Life Sciences,2009,telemedicine,-0.019754878245444276
Healthcare & Life Sciences,2009,healthcare technology,0.0005644250927269826
Healthcare & Life Sciences,2009,medical devices,-0.0183034994355749
Healthcare & Life Sciences,2009,biotech,-0.34478309950008057
Healthcare & Life Sciences,2010,digital health,-0.020803096274794392
Healthcare & Life Sciences,2010,telemedicine,-0.030156426382841484
Healthcare & Life Sciences,2010,healthcare technology,-0.013788098693759068
Healthcare & Life Sciences,2010,medical devices,-0.057168198677632655
Healthcare & Life Sciences,2010,biotech,-0.4188840509595227
Healthcare & Life Sciences,2011,digital health,-0.0028221254636348956
Healthcare & Life Sciences,2011,telemedicine,-0.021125624899209806
Healthcare & Life Sciences,2011,healthcare technology,-0.004434768585711977
Healthcare & Life Sciences,2011,medical devices,-0.01661022415739396
Healthcare & Life Sciences,2011,biotech,-0.3002741493307531
Healthcare & Life Sciences,2012,digital health,0.008143847766489277
Healthcare & Life Sciences,2012,telemedicine,-0.023625221738429285
Healthcare & Life Sciences,2012,healthcare technology,-0.014755684567005324
Healthcare & Life Sciences,2012,medical devices,-0.0269311401386873
Healthcare & Life Sciences,2012,biotech,-0.45589421061119173
Healthcare & Life Sciences,2013,digital health,-0.009998387356877924
Healthcare & Life Sciences,2013,telemedicine,-0.005886147395581355
Healthcare & Life Sciences,2013,healthcare technology,0.001532010965973234
Healthcare & Life Sciences,2013,medical devices,-0.02402838251894855
Healthcare & Life Sciences,2013,biotech,-0.251652959200129
Healthcare & Life Sciences,2014,digital health,-0.00024189646831156237
Healthcare & Life Sciences,2014,telemedicine,-0.00806321561038542
Healthcare & Life Sciences,2014,healthcare technology,-0.0019351717464925003
Healthcare & Life Sciences,2014,medical devices,-0.03176906950491855
Healthcare & Life Sciences,2014,biotech,-0.4190453152717304
Healthcare & Life Sciences,2015,digital health,0.00854700854700855
Healthcare & Life Sciences,2015,telemedicine,-0.010562812449604895
Healthcare & Life Sciences,2015,healthcare technology,-0.0016126431220770813
Healthcare & Life Sciences,2015,medical devices,-0.02709240445089501
Healthcare & Life Sciences,2015,biotech,-0.3804225124979842
Healthcare & Life Sciences,2016,digital health,0.008466376390904699
