name,industry,funding_total_usd,status,country,funding_rounds,founded_year,category
#waywire,News,1750000,acquired,United States,1,2012,Media & Entertainment
'Rock' Your Paper,Publishing,40000,operating,Estonia,1,2012,Media & Entertainment
-R- Ranch and Mine,Tourism,60000,operating,United States,2,2014,Travel & Hospitality
004 Technologies,Software,0,operating,United States,1,2010,Technology & Software
"1,2,3 Listo",E-Commerce,40000,operating,Chile,1,2012,E-Commerce & Retail
1.618 Technology,Real Estate,0,operating,United States,1,2013,Real Estate & Construction
10 Minutes With,Education,4400000,operating,United Kingdom,2,2013,Education & Training
10-20 Media,E-Commerce,2050000,operating,United States,4,2001,E-Commerce & Retail
1000 Corks,Search,40000,operating,United States,1,2008,Internet & Web Services
1000memories,Curated Web,2535000,acquired,United States,2,2010,Internet & Web Services
1000museums.com,Curated Web,4962651,operating,United States,6,2008,Internet & Web Services
1001 Menus,Restaurants,4059079,operating,France,4,2010,Food & Beverage
1006.tv,Media,10000000,operating,China,3,2009,Media & Entertainment
100health,Health Care Information Technology,420000,operating,United States,1,2014,Healthcare & Life Sciences
100Plus,Analytics,1250000,acquired,United States,2,2011,Data & Analytics
1010data,Software,35000000,operating,United States,1,2000,Technology & Software
10°North,Fashion,0,operating,Canada,1,2014,Consumer & Lifestyle
10BestThings,Curated Web,50000,closed,United States,1,2009,Internet & Web Services
10seconds Software,Mobility,100000,operating,Australia,1,2009,Transportation & Logistics
10X Technologies,Biotechnology,3000000,operating,United States,1,2012,Healthcare & Life Sciences
10X10 Room,Software,77500,operating,United States,1,2010,Technology & Software
117go,Social Travel,20000000,operating,China,1,2011,Travel & Hospitality
120 Sports,Sports,0,operating,United States,1,2013,Sports & Recreation
121 Rentals,Real Estate,0,operating,United States,1,2011,Real Estate & Construction
121cast,Mobile,270000,operating,Australia,2,2012,Technology & Software
121nexus,Pharmaceuticals,794000,operating,United States,6,2011,Healthcare & Life Sciences
123ContactForm,SaaS,0,operating,ROM,1,2008,Technology & Software
1248,Software,378812,operating,United Kingdom,1,2013,Technology & Software
12Return,Software,619494,operating,Netherlands,1,2010,Technology & Software
12Society,E-Commerce,0,acquired,United States,1,2012,E-Commerce & Retail
1366 Technologies,Manufacturing,66450000,operating,United States,8,2007,Manufacturing & Industrial
13th Lab,Mobile,700000,operating,Sweden,1,2010,Technology & Software
140 Proof,Advertising,5500000,operating,United States,2,2010,Marketing & Advertising
140Fire,Entertainment,500000,operating,United States,1,2010,Media & Entertainment
15Five,Software,3400000,operating,United States,3,2011,Technology & Software
16 Mile Solutions,Software,199957,operating,United States,1,2006,Technology & Software
